gene_id	transcript_id	gene_name	type	strand	seqid	biotypes	description	start	end	gc	featWidth	GO BP	GO MF	GO CC
YDR459C	YDR459C_mRNA		protein_coding	-	IV	protein_coding	Palmitoyltransferase with autoacylation activity; likely functions in pathway(s) outside Ras; member of a family of putative palmitoyltransferases containing an Asp-His-His-Cys-cysteine rich (DHHC-CRD) domain [Source:SGD;Acc:S000002867]	1382319	1383443	0.4018	1125	GO:0018345	GO:0016409; GO:0019706	GO:0005886; GO:0016021
YDR460W	YDR460W_mRNA	TFB3	protein_coding	+	IV	protein_coding	Subunit of TFIIH and nucleotide excision repair factor 3 complexes; involved in transcription initiation, required for nucleotide excision repair; ring finger protein similar to mammalian CAK and TFIIH subunit [Source:SGD;Acc:S000002868]	1383811	1384776	0.3944	966	GO:0070816; GO:0045737; GO:0006366; GO:0006289; GO:0000079	GO:0061575; GO:0046872	GO:0070985; GO:0005675
YDR461C-A	YDR461C-A_mRNA		protein_coding	-	IV	protein_coding	Putative protein of unknown function [Source:SGD;Acc:S000087209]	1385524	1385766	0.4938	243			
YDR461W	YDR461W_mRNA		protein_coding	+	IV	protein_coding	Mating pheromone a-factor; made by a cells; interacts with alpha cells to induce cell cycle arrest and other responses leading to mating; biogenesis involves C-terminal modification, N-terminal proteolysis, and export; also encoded by MFA2 [Source:SGD;Acc:S000002869]	1385176	1385286	0.4505	111	GO:0000750	GO:0000772	GO:0005576; GO:0005886
YDR462W	YDR462W_mRNA	MRPL28	protein_coding	+	IV	protein_coding	Mitochondrial ribosomal protein of the large subunit; protein abundance increases in response to DNA replication stress [Source:SGD;Acc:S000002870]	1386073	1386516	0.4617	444	GO:0032543	GO:0003735	GO:0005762
YDR463W	YDR463W_mRNA	STP1	protein_coding	+	IV	protein_coding	Transcription factor; contains a N-terminal regulatory motif (RI) that acts as a cytoplasmic retention determinant and as an Asi dependent degron in the nucleus; undergoes proteolytic processing by SPS (Ssy1p-Ptr3p-Ssy5p)-sensor component Ssy5p in response to extracellular amino acids; activates transcription of amino acid permease genes and may have a role in tRNA processing; STP1 has a paralog, STP2, that arose from the whole genome duplication [Source:SGD;Acc:S000002871]	1386816	1388375	0.4147	1560	GO:0008033; GO:0045893; GO:0045944	GO:0003676; GO:0000978; GO:0046872	GO:0005634; GO:0005737; GO:0005886
YDR464C-A	YDR464C-A_mRNA		protein_coding	-	IV	protein_coding	Dubious open reading frame unlikely to encode a functional protein; identified by gene-trapping, microarray-based expression analysis, and genome-wide homology searching [Source:SGD;Acc:S000028614]	1392492	1392680	0.4497	189			
YDR464W	YDR464W_mRNA		protein_coding	+	IV	protein_coding	Protein of unknown function; involved in negative regulation of expression of spliceosome components PRP4 and PRP3; relocalizes to the cytosol in response to hypoxia [Source:SGD;Acc:S000002872]	1388872	1393179	0.3967	4308	GO:0000122		GO:0005634; GO:0005829
YDR465C	YDR465C_mRNA		protein_coding	-	IV	protein_coding	Arginine N5 methyltransferase; methylates ribosomal protein Rpl12 (L12) on Arg67; relative distribution to the nucleus increases upon DNA replication stress [Source:SGD;Acc:S000002873]	1393336	1394574	0.3987	1239	GO:0018216; GO:0046500; GO:0046498	GO:0019702; GO:0016274	GO:0005634; GO:0005737
YDR466W	YDR466W_mRNA		protein_coding	+	IV	protein_coding	Protein kinase with similarity to mammalian PDK1 and yeast Pkh1p/Phk2p; yeast Pkh1p and Pkh2p are two redundant upstream activators of Pkc1p; identified as a multicopy suppressor of a pkh1 pkh2 double mutant [Source:SGD;Acc:S000002874]	1395121	1397817	0.3878	2697	GO:0000196; GO:0018105; GO:0006468	GO:0004672; GO:0004674; GO:0005524	GO:0005622
YDR467C	YDR467C_mRNA		protein_coding	-	IV	protein_coding	Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data [Source:SGD;Acc:S000002875]	1397583	1397909	0.3792	327			GO:0016021
YDR468C	YDR468C_mRNA		protein_coding	-	IV	protein_coding	Essential t-SNARE that mediates fusion of vesicles with the late Golgi; forms a complex with Tlg2p and Vti1p; mediates fusion of endosome-derived vesicles with the late Golgi; binds the docking complex VFT (Vps fifty-three) through interaction with Vps51p [Source:SGD;Acc:S000002876]	1398026	1398700	0.3763	675	GO:0048278; GO:0006906; GO:0006897; GO:0006886; GO:0016192	GO:0005484; GO:0000149	GO:0031901; GO:0005802; GO:0031902; GO:0005768; GO:0031201; GO:0016020; GO:0016021
YDR469W	YDR469W_mRNA	SDC1	protein_coding	+	IV	protein_coding	Subunit of the COMPASS (Set1C) complex; COMPASS methylates lysine 4 of histone H3 and is required in chromatin silencing at telomeres; contains a Dpy-30 domain that mediates interaction with Bre2p; similar to C. elegans and human DPY-30 [Source:SGD;Acc:S000002877]	1399015	1399542	0.3674	528	GO:0051568; GO:0006348		GO:0048188; GO:0000781; GO:0044666
YDR470C	YDR470C_mRNA		protein_coding	-	IV	protein_coding	Outer membrane component of the mitochondrial fusion machinery; binds to Fzo1p and Mgm1p to link these two GTPases during mitochondrial fusion; involved in fusion of both the outer and inner membranes; facilitates dimerization of Fzo1p during fusion; import into the outer membrane is mediated by Tom70p and Mim1p; has similarity to carrier proteins but likely not a transporter; similar to human SLC25A46 implicated in optic atroprophy spectrum disorder [Source:SGD;Acc:S000002878]	1399706	1401214	0.3777	1509	GO:0008053; GO:0006839	GO:0022857	GO:0031307; GO:0005743
YDR471W	YDR471W_mRNA	RPL27B	protein_coding	+	IV	protein_coding	Ribosomal 60S subunit protein L27B; homologous to mammalian ribosomal protein L27, no bacterial homolog; RPL27B has a paralog, RPL27A, that arose from the whole genome duplication [Source:SGD;Acc:S000002879]	1401770	1402564	0.4282	411	GO:0006412; GO:0002181	GO:0003735	GO:0005840; GO:0005622; GO:0030687; GO:0022625
YDR472W	YDR472W_mRNA		protein_coding	+	IV	protein_coding	Core component of transport protein particle (TRAPP) complexes I-III; TRAPP complexes are related multimeric guanine nucleotide-exchange factor for the GTPase Ypt1p, regulating ER-Golgi traffic (TRAPPI), intra-Golgi traffic (TRAPPII), endosome-Golgi traffic (TRAPPII and III) and autophagy (TRAPPIII) [Source:SGD;Acc:S000002880]	1403322	1404173	0.4038	852	GO:0048193; GO:0065009; GO:0006914; GO:0006888		GO:1990070; GO:1990071; GO:1990072; GO:0000407; GO:0005783; GO:0030008
YDR473C	YDR473C_mRNA	PRP3	protein_coding	-	IV	protein_coding	Splicing factor; component of the U4/U6-U5 snRNP complex [Source:SGD;Acc:S000002881]	1404445	1405854	0.3674	1410	GO:0000398		GO:0046540; GO:0005681
YDR475C	YDR475C_mRNA	JIP4	protein_coding	-	IV	protein_coding	Protein of unknown function; previously annotated as two separate ORFs, YDR474C and YDR475C, which were merged as a result of corrections to the systematic reference sequence; JIP4 has a paralog, YOR019W, that arose from the whole genome duplication [Source:SGD;Acc:S000002883]	1407464	1410094	0.4246	2631			
YDR476C	YDR476C_mRNA		protein_coding	-	IV	protein_coding	Putative protein of unknown function; green fluorescent protein (GFP)-fusion protein localizes to the endoplasmic reticulum; YDR476C is not an essential gene [Source:SGD;Acc:S000002884]	1410453	1411127	0.5215	675			GO:0005783
YDR477W	YDR477W_mRNA	SNF1	protein_coding	+	IV	protein_coding	AMP-activated S/T protein kinase; forms a complex with Snf4p and members of the Sip1p/Sip2p/Gal83p family; required for transcription of glucose-repressed genes, thermotolerance, sporulation, and peroxisome biogenesis; regulates nucleocytoplasmic shuttling of Hxk2p; regulates filamentous growth and acts as a non-canonical GEF, activating Arf3p during invasive growth; SUMOylation by Mms21p inhibits its function and targets Snf1p for destruction via the Slx5-Slx8 Ub ligase [Source:SGD;Acc:S000002885]	1412373	1414274	0.3954	1902	GO:0071940; GO:0045722; GO:0090606; GO:0007155; GO:1900436; GO:0006986; GO:2000222; GO:0005975; GO:0000278; GO:0016239; GO:0017148; GO:0035556; GO:0006995; GO:0006468; GO:0001403; GO:0001302	GO:0004679; GO:0005086; GO:0004672; GO:0004674; GO:0042802; GO:0005524	GO:0031588; GO:0000324; GO:0005634; GO:0005641; GO:0031965; GO:0005737
YDR478W	YDR478W_mRNA		protein_coding	+	IV	protein_coding	Ribonuclease MRP complex subunit; ribonuclease (RNase) MRP cleaves pre-rRNA and has a role in cell cycle-regulated degradation of daughter cell-specific mRNAs; binds to the NME1 RNA subunit of RNase MRP [Source:SGD;Acc:S000002886]	1414575	1415171	0.3853	597	GO:0030541; GO:0090502; GO:0008033; GO:0006364; GO:0006397	GO:0042134; GO:0004518	GO:0000172; GO:0005655
YDR479C	YDR479C_mRNA		protein_coding	-	IV	protein_coding	ER-resident protein involved in peroxisomal biogenesis; ER-localized protein that associates with peroxisomes; interacts with Pex30p and reticulons Rtn1p and Yop1p to regulate peroxisome biogenesis from the ER; role in peroxisomal-destined vesicular flow from the ER; regulates peroxisomal size, number and distribution; Pex28p and Pex29p may act at steps upstream of those mediated by Pex30p, Pex31p, and Pex32p; forms ER foci upon DNA replication stress [Source:SGD;Acc:S000002887]	1415210	1416874	0.397	1665	GO:0007031; GO:0032581		GO:0005777; GO:0005778; GO:0005783; GO:0016021
YDR480W	YDR480W_mRNA	DIG2	protein_coding	+	IV	protein_coding	MAP kinase-responsive inhibitor of the Ste12p transcription factor; involved in the regulation of mating-specific genes and the invasive growth pathway; related regulators Dig1p and Dig2p bind to Ste12p; DIG2 has a paralog, DIG1, that arose from the whole genome duplication [Source:SGD;Acc:S000002888]	1417399	1418370	0.4084	972	GO:2000218; GO:2000221; GO:0046020	GO:0008134	GO:1990526; GO:0005634
YDR481C	YDR481C_mRNA	PHO8	protein_coding	-	IV	protein_coding	Repressible vacuolar alkaline phosphatase; regulated by levels of Pi and by Pho4p, Pho9p, Pho80p, Pho81p and Pho85p; dephosphorylates phosphotyrosyl peptides; contributes to NAD+ metabolism by producing nicotinamide riboside from NMN [Source:SGD;Acc:S000002889]	1418550	1420250	0.438	1701	GO:0046496; GO:0006470	GO:0003824; GO:0004035; GO:0047386; GO:0016791; GO:0046872	GO:0000329; GO:0016021
YDR482C	YDR482C_mRNA		protein_coding	-	IV	protein_coding	Protein involved in RNA splicing by the spliceosome; component of a complex containing Cef1p; interacts genetically with ISY1 and BUD13; may bind RNA; has similarity to S. pombe Cwf21p [Source:SGD;Acc:S000002890]	1420431	1420838	0.5147	408	GO:0000398		GO:0005684; GO:0005737
YDR483W	YDR483W_mRNA	KRE2	protein_coding	+	IV	protein_coding	Alpha1,2-mannosyltransferase of the Golgi; involved in protein mannosylation; KRE2 has a paralog, KTR6, that arose from the whole genome duplication [Source:SGD;Acc:S000002891]	1421157	1422485	0.3988	1329	GO:0000032; GO:0006491; GO:0006493; GO:0006487; GO:0006486	GO:0000026; GO:0000030	GO:0000139; GO:0005794; GO:0016020; GO:0016021
YDR484W	YDR484W_mRNA	VPS52	protein_coding	+	IV	protein_coding	Component of the GARP (Golgi-associated retrograde protein) complex; GARP is required for the recycling of proteins from endosomes to the late Golgi, and for mitosis after DNA damage induced checkpoint arrest; involved in localization of actin and chitin; members of the GARP complex are Vps51p-Vps52p-Vps53p-Vps54p [Source:SGD;Acc:S000002892]	1422763	1424688	0.3328	1926	GO:0030029; GO:0032456; GO:0090156; GO:0016239; GO:0042147; GO:0006896; GO:0015031	GO:0019905; GO:0017137	GO:0005856; GO:0000938; GO:0010008; GO:0005794; GO:0005829
YDR485C	YDR485C_mRNA	VPS72	protein_coding	-	IV	protein_coding	Htz1p-binding component of the SWR1 complex; exchanges histone variant H2AZ (Htz1p) for chromatin-bound histone H2A; may function as a lock that prevents removal of H2AZ from nucleosomes; required for vacuolar protein sorting [Source:SGD;Acc:S000002893]	1424820	1427207	0.3861	2388	GO:0043486; GO:0016569; GO:0006338; GO:0006355	GO:0042393	GO:0000812; GO:0005634
YDR486C	YDR486C_mRNA	VPS60	protein_coding	-	IV	protein_coding	Protein involved in late endosome to vacuole transport; cytoplasmic and vacuolar membrane protein; required for normal filament maturation during pseudohyphal growth; may function in targeting cargo proteins for degradation; interacts with Vta1p [Source:SGD;Acc:S000002894]	1427431	1428120	0.4029	690	GO:0032511; GO:0007034; GO:0015031; GO:0030447		GO:0010008; GO:0000329
YDR487C	YDR487C_mRNA		protein_coding	-	IV	protein_coding	3,4-dihydroxy-2-butanone-4-phosphate synthase (DHBP synthase); required for riboflavin biosynthesis from ribulose-5-phosphate, also has an unrelated function in mitochondrial respiration [Source:SGD;Acc:S000002895]	1428354	1428980	0.4434	627	GO:0009231; GO:0009060	GO:0008686; GO:0046872	GO:0005758; GO:0005829
YDR488C	YDR488C_mRNA		protein_coding	-	IV	protein_coding	Dynein intermediate chain, microtubule motor protein; required for intracellular transport and cell division; acts in cytoplasmic dynein pathway; forms complex with dynein light chain Dyn2p that promotes Dyn1p homodimerization and potentiates motor processivity; Dyn2p-Pac11p complex is also important for interaction of dynein motor complex with dynactin complex; forms cortical cytoplasmic microtubule capture site with Num1p; essential in the absence of CIN8 [Source:SGD;Acc:S000002896]	1429188	1430789	0.5	1602	GO:2000582; GO:0040001; GO:0030473	GO:0045503; GO:0045504; GO:0005515	GO:0005868; GO:0005881
YDR489W	YDR489W_mRNA	SLD5	protein_coding	+	IV	protein_coding	Subunit of the GINS complex (Sld5p, Psf1p, Psf2p, Psf3p); complex is localized to DNA replication origins and implicated in assembly of the DNA replication machinery [Source:SGD;Acc:S000002897]	1431012	1431896	0.3876	885	GO:0000727; GO:0006261; GO:0032508; GO:0006270		GO:0071162; GO:0000811; GO:0031298; GO:0031261
YDR490C	YDR490C_mRNA		protein_coding	-	IV	protein_coding	Serine/threonine protein kinase; involved in sphingolipid-mediated signaling pathway that controls endocytosis; activates Ypk1p and Ykr2p, components of signaling cascade required for maintenance of cell wall integrity; contains a PH-like domain; redundant with Pkh2p; PKH1 has a paralog, PKH2, that arose from the whole genome duplication [Source:SGD;Acc:S000002898]	1431968	1434268	0.4272	2301	GO:0032511; GO:0000196; GO:0060211; GO:0010606; GO:0071902; GO:0018105; GO:0018107; GO:0006468; GO:0006897	GO:0004672; GO:0004674; GO:0005524	GO:0005938; GO:0005829
YDR491C	YDR491C_mRNA		protein_coding	-	IV	protein_coding	Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data [Source:SGD;Acc:S000002899]	1434500	1434991	0.3923	492			GO:0016021
YDR492W	YDR492W_mRNA		protein_coding	+	IV	protein_coding	Membrane protein involved in zinc ion homeostasis; member of the four-protein IZH family; transcription is regulated directly by Zap1p, expression induced by zinc deficiency and fatty acids; deletion increases sensitivity to elevated zinc; IZH1 has a paralog, IZH4, that arose from the whole genome duplication [Source:SGD;Acc:S000002900]	1434924	1435874	0.4048	951	GO:0006882		GO:0005789; GO:0016021
YDR493W	YDR493W_mRNA	MZM1	protein_coding	+	IV	protein_coding	Protein required for assembly of the cytochrome bc(1) complex; acts as a chaperone for Rip1p and facilitates its insertion into the complex at a late stage of assembly; localized to the mitochondrial matrix; null mutant exhibits a respiratory growth defect and reduced mitochondrial zinc levels, which is characteristic of mutations affecting bc(1) complex assembly; member of the LYR protein family; human LYRM7 is a functional ortholog [Source:SGD;Acc:S000002901]	1436217	1436588	0.4382	372	GO:0034551	GO:0044183	GO:0005759; GO:0005739
YDR494W	YDR494W_mRNA		protein_coding	+	IV	protein_coding	Mitochondrial ribosomal protein of the small subunit; genetic interactions suggest a possible role in promoting translation initiation [Source:SGD;Acc:S000002902]	1436930	1438015	0.3766	1086	GO:0070124; GO:0032543	GO:0003735	GO:0005763
YDR495C	YDR495C_mRNA	VPS3	protein_coding	-	IV	protein_coding	Component of CORVET membrane tethering complex; cytoplasmic protein required for the sorting and processing of soluble vacuolar proteins, acidification of the vacuolar lumen, and assembly of the vacuolar H+-ATPase [Source:SGD;Acc:S000002903]	1438115	1441150	0.333	3036	GO:0016192; GO:0000011; GO:0006623; GO:0007035		GO:0033263; GO:0005768
YDR496C	YDR496C_mRNA		protein_coding	-	IV	protein_coding	Pumilio-homology domain protein; binds the 3' UTR of ASH1 mRNA and represses its translation, resulting in proper asymmetric localization of ASH1 mRNA; required at post-transcriptional step for efficient retrotransposition; absence results in decreased Ty1 Gag:GFP protein levels; co-sediments with the 60S ribosomal subunit and is required for its biogenesis [Source:SGD;Acc:S000002904]	1441433	1443403	0.3597	1971	GO:0017148; GO:0042273	GO:0003730; GO:0000900; GO:0003723	GO:0015934; GO:0030687; GO:0005934; GO:0005730
YDR497C	YDR497C_mRNA		protein_coding	-	IV	protein_coding	Myo-inositol transporter; member of the sugar transporter superfamily; expression is repressed by inositol and choline via Opi1p and derepressed via Ino2p and Ino4p; relative distribution to the vacuole increases upon DNA replication stress; ITR1 has a paralog, ITR2, that arose from the whole genome duplication [Source:SGD;Acc:S000002905]	1443713	1445467	0.4296	1755	GO:0015798; GO:0007124; GO:0055085; GO:0046323	GO:0005365; GO:0022857; GO:0005215; GO:0005351; GO:0005355	GO:0016020; GO:0005886; GO:0016021
YDR498C	YDR498C_mRNA		protein_coding	-	IV	protein_coding	Membrane glycoprotein v-SNARE; involved in retrograde transport from the Golgi to the endoplasmic reticulum (ER); required for N- and O-glycosylation in the Golgi but not in the ER and for efficient nuclear fusion during mating; mediates Sey1p-independent homotypic ER fusion; interacts with the Dsl1p complex through Tip20p [Source:SGD;Acc:S000002906]	1445843	1446994	0.4236	1152	GO:0048279; GO:0006890; GO:0015031	GO:0005484	GO:0031201; GO:0005783; GO:0005789; GO:0016021
YDR499W	YDR499W_mRNA	LCD1	protein_coding	+	IV	protein_coding	Essential protein required for the DNA integrity checkpoint pathways; interacts physically with Mec1p; putative homolog of S. pombe Rad26 and human ATRIP; forms nuclear foci upon DNA replication stress [Source:SGD;Acc:S000002907]	1447830	1450073	0.3547	2244	GO:0045184; GO:0007004; GO:0000077; GO:0016569; GO:0006281	GO:0003684	GO:0000228; GO:0005737
YDR500C	YDR500C_mRNA	RPL37B	protein_coding	-	IV	protein_coding	Ribosomal 60S subunit protein L37B; required for processing of 27SB pre-rRNA and formation of stable 66S assembly intermediates; protein abundance increases in response to DNA replication stress; homologous to mammalian ribosomal protein L37, no bacterial homolog; RPL37B has a paralog, RPL37A, that arose from the whole genome duplication [Source:SGD;Acc:S000002908]	1450198	1450853	0.4494	267	GO:0000448; GO:0006412; GO:0002181	GO:0003723; GO:0019843; GO:0003735; GO:0046872	GO:0005840; GO:0005622; GO:0030687; GO:0022625
YDR501W	YDR501W_mRNA		protein_coding	+	IV	protein_coding	Putative transcription factor, contains Forkhead Associated domain; found associated with chromatin; target of SBF transcription factor; induced in response to DNA damaging agents and deletion of telomerase; PLM2 has a paralog, TOS4, that arose from the whole genome duplication [Source:SGD;Acc:S000002909]	1451353	1452918	0.3934	1566	GO:0006974	GO:0003682; GO:0005515	GO:0000790
YDR502C	YDR502C_mRNA	SAM2	protein_coding	-	IV	protein_coding	S-adenosylmethionine synthetase; catalyzes transfer of the adenosyl group of ATP to the sulfur atom of methionine; comparative analysis suggests that a mitochondrially targeted form may result from translation starting at a non-canonical codon upstream of the annotated start codon [Source:SGD;Acc:S000002910]	1453310	1454464	0.419	1155	GO:0006555; GO:0006556; GO:0006730	GO:0004478; GO:0005524; GO:0046872	GO:0010494; GO:0005829
YDR503C	YDR503C_mRNA		protein_coding	-	IV	protein_coding	Lipid phosphate phosphatase; catalyzes Mg(2+)-independent dephosphorylation of phosphatidic acid (PA), lysophosphatidic acid, and diacylglycerol pyrophosphate; involved in control of the cellular levels of phosphatidylinositol and PA [Source:SGD;Acc:S000002911]	1455042	1455866	0.4012	825	GO:0006644	GO:0000810; GO:0008195	GO:0000139; GO:0016020; GO:0016021
YDR504C	YDR504C_mRNA		protein_coding	-	IV	protein_coding	Protein required for high temperature survival during stationary phase; not required for growth on nonfermentable carbon sources; SWAT-GFP and mCherry fusion proteins localize to the endoplasmic reticulum [Source:SGD;Acc:S000002912]	1456311	1456694	0.263	384			GO:0016021
YDR505C	YDR505C_mRNA	PSP1	protein_coding	-	IV	protein_coding	Asn and gln rich protein of unknown function; high-copy suppressor of POL1 (DNA polymerase alpha) and partial suppressor of CDC2 (polymerase delta) and CDC6 (pre-RC loading factor) mutations; overexpression results in growth inhibition; PSP1 has a paralog, YLR177W, that arose from the whole genome duplication [Source:SGD;Acc:S000002913]	1456695	1459220	0.3702	2526			GO:0000932; GO:0005739
YDR506C	YDR506C_mRNA		protein_coding	-	IV	protein_coding	Protein involved in meiotic progression; mutants are delayed in meiotic nuclear division and are defective in synaptonemal complex assembly; possible membrane-localized protein; SWAT-GFP and mCherry fusion proteins localize to the endoplasmic reticulum and vacuole respectively [Source:SGD;Acc:S000002914]	1459728	1461554	0.4012	1827	GO:0055114; GO:0070193; GO:0006811; GO:0055072; GO:0051321	GO:0016722; GO:0016491; GO:0005507	
YDR507C	YDR507C_mRNA	GIN4	protein_coding	-	IV	protein_coding	Protein kinase involved in bud growth and assembly of the septin ring; proposed to have kinase-dependent and kinase-independent activities; undergoes autophosphorylation; similar to Hsl1p; GIN4 has a paralog, KCC4, that arose from the whole genome duplication [Source:SGD;Acc:S000002915]	1462358	1465786	0.3791	3429	GO:0044879; GO:0000921; GO:0007117; GO:0035556; GO:0046777; GO:0006468	GO:0004672; GO:0004674; GO:0005524	GO:0005935; GO:0005634; GO:0005737
YDR508C	YDR508C_mRNA		protein_coding	-	IV	protein_coding	High-affinity glutamine permease; also transports Leu, Ser, Thr, Cys, Met and Asn; expression is fully dependent on Grr1p and modulated by the Ssy1p-Ptr3p-Ssy5p (SPS) sensor of extracellular amino acids; GNP1 has a paralog, AGP1, that arose from the whole genome duplication [Source:SGD;Acc:S000002916]	1466453	1468444	0.4106	1992	GO:0006865; GO:0055085	GO:0015193; GO:0015171	GO:0031966; GO:0016020; GO:0005886; GO:0016021
YDR509W	YDR509W_mRNA		protein_coding	+	IV	protein_coding	Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data [Source:SGD;Acc:S000002917]	1468226	1468573	0.3247	348			GO:0016021
YDR510C-A	YDR510C-A_mRNA		protein_coding	-	IV	protein_coding	Dubious open reading frame unlikely to encode a functional protein; identified by gene-trapping, microarray-based expression analysis, and genome-wide homology searching [Source:SGD;Acc:S000028615]	1469695	1469811	0.3419	117			GO:0016021
YDR510W	YDR510W_mRNA		protein_coding	+	IV	protein_coding	Ubiquitin-like protein of the SUMO family; conjugated to lysine residues of target proteins; associates with transcriptionally active genes; regulates chromatid cohesion, chromosome segregation, APC-mediated proteolysis, DNA replication and septin ring dynamics; human homolog SUMO1 can complement yeast null mutant [Source:SGD;Acc:S000002918]	1469400	1469705	0.4314	306	GO:0016925	GO:0031386; GO:0042802; GO:0005515	GO:0005940; GO:0000794; GO:0005634
YDR511W	YDR511W_mRNA		protein_coding	+	IV	protein_coding	Mitochondrial protein involved in assembly of succinate dehydrogenase; has a role in maturation of the Sdh2p subunit; localized to the mitochondrial intermembrane space; required for acetate utilization and gluconeogenesis; mutation in Drosophila ortholog SDHAF3 causes reduced succinate dehydrogenase activity and neuronal and muscular dysfunction; member of the LYR protein family [Source:SGD;Acc:S000002919]	1470017	1470418	0.4254	402	GO:0015976; GO:0006105; GO:0006111; GO:0034553; GO:0006979		GO:0005758; GO:0005759; GO:0005739
YDR512C	YDR512C_mRNA		protein_coding	-	IV	protein_coding	Non-essential protein of unknown function; required for transcriptional induction of the early meiotic-specific transcription factor IME1, also required for sporulation; contains twin cysteine-x9-cysteine motifs; deletion affects mitochondrial morphology [Source:SGD;Acc:S000002920]	1470500	1471063	0.4131	564	GO:0007005; GO:0051321; GO:0030435		
YDR513W	YDR513W_mRNA	GRX2	protein_coding	+	IV	protein_coding	Cytoplasmic glutaredoxin; thioltransferase, glutathione-dependent disulfide oxidoreductase involved in maintaining redox state of target proteins, also exhibits glutathione peroxidase activity, expression induced in response to stress; GRX2 has two in-frame start codons resulting in a shorter isoform that is retained in the cytosol and a longer form translocated to the mitochondrial matrix; GRX2 has a paralog, GRX1, that arose from the whole genome duplication [Source:SGD;Acc:S000002921]	1471017	1471448	0.3843	432	GO:0006749; GO:0034599; GO:0045454	GO:0004364; GO:0004602; GO:0015036; GO:0009055; GO:0015035	GO:0005739; GO:0005829
YDR514C	YDR514C_mRNA		protein_coding	-	IV	protein_coding	Protein of unknown function that localizes to mitochondria; overexpression affects endocytic protein trafficking; YDR514C has a paralog, GFD2, that arose from the whole genome duplication [Source:SGD;Acc:S000002922]	1471548	1472999	0.3919	1452		GO:0003676	GO:0005634; GO:0005739
YDR515W	YDR515W_mRNA	SLF1	protein_coding	+	IV	protein_coding	RNA binding protein that associates with polysomes; may be involved in regulating mRNA translation; involved in the copper-dependent mineralization of copper sulfide complexes on cell surface in cells cultured in copper salts; SLF1 has a paralog, SRO9, that arose from the whole genome duplication; protein abundance increases in response to DNA replication stress [Source:SGD;Acc:S000002923]	1473429	1474772	0.3452	1344	GO:0006417; GO:0006878	GO:0003723	GO:0005844; GO:0010494
YDR516C	YDR516C_mRNA		protein_coding	-	IV	protein_coding	Non-essential protein of unknown function; required for transcriptional induction of the early meiotic-specific transcription factor IME1; required for sporulation; expression regulated by glucose-repression transcription factors Mig1/2p; EMI2 has a paralog, GLK1, that arose from the whole genome duplication; protein abundance increases in response to DNA replication stress [Source:SGD;Acc:S000002924]	1474974	1476476	0.4405	1503	GO:0001678; GO:0005975; GO:0006096; GO:0030435	GO:0004396; GO:0016773; GO:0004340; GO:0008865; GO:0019158; GO:0005536; GO:0005524	GO:0005829
YDR517W	YDR517W_mRNA		protein_coding	+	IV	protein_coding	Acetylated cis-Golgi protein, involved in ER to Golgi transport; homolog of human GRASP65; forms a complex with the coiled-coil protein Bug1p; mutants are compromised for the fusion of ER-derived vesicles with Golgi membranes; protein abundance increases in response to DNA replication stress [Source:SGD;Acc:S000002925]	1477239	1478357	0.4754	1119	GO:0009306; GO:0007030; GO:0006888		GO:0005801; GO:0000139; GO:0005737
YDR518W	YDR518W_mRNA		protein_coding	+	IV	protein_coding	Protein disulfide isomerase of the endoplasmic reticulum lumen; EUG1 has a paralog, PDI1, that arose from the whole genome duplication; function overlaps with that of Pdi1p; may interact with nascent polypeptides in the ER [Source:SGD;Acc:S000002926]	1478608	1480161	0.3829	1554	GO:0034976; GO:0006457; GO:0045454	GO:0019153; GO:0003756; GO:0015035; GO:0051082	GO:0005788
YDR519W	YDR519W_mRNA	FPR2	protein_coding	+	IV	protein_coding	Membrane-bound peptidyl-prolyl cis-trans isomerase (PPIase); binds to the drugs FK506 and rapamycin; expression pattern suggests possible involvement in ER protein trafficking; relocalizes from nucleus to vacuole upon DNA replication stress; mutation is functionally complemented by human FKBP2 [Source:SGD;Acc:S000002927]	1480425	1480832	0.4167	408	GO:0061077	GO:0005528; GO:0003755	GO:0005789
YDR520C	YDR520C_mRNA	URC2	protein_coding	-	IV	protein_coding	Putative Zn(II)2Cys6 motif containing transcription factor; non-essential gene identified in a screen for mutants with increased levels of rDNA transcription; similar to S. kluyveri Urc2p involved in uracil catabolism [Source:SGD;Acc:S000002928]	1481085	1483403	0.3639	2319	GO:0006212; GO:0019858; GO:0045848; GO:0001080; GO:0009117; GO:0045944; GO:0006355	GO:0001128; GO:0000981; GO:0003677; GO:0008270	GO:0005634; GO:0005737
YDR521W	YDR521W_mRNA		protein_coding	+	IV	protein_coding	Dubious ORF that overlaps YDR520C; mutant increases expression of PIS1 and RPL3 in glycerol [Source:SGD;Acc:S000002929]	1483141	1483476	0.3839	336			GO:0016021
YDR522C	YDR522C_mRNA		protein_coding	-	IV	protein_coding	Protein expressed during sporulation; SPS2 has a paralog, SPS22, that arose from the whole genome duplication; redundant with Sps22p for organization of the beta-glucan layer of the spore wall; S. pombe ortholog is a spore wall component [Source:SGD;Acc:S000002930]	1483795	1485303	0.3419	1509	GO:0030476; GO:0030437		GO:0009277; GO:0031225; GO:0005886
