transcript_id	gene_id	gene_name	type	strand	seqid	start	end	biotypes	gc	featWidth	description	GO BP	GO CC	GO MF
YCR081C-A_mRNA	YCR081C-A		protein_coding	-	III	258415	258651	protein_coding	0.4008	237	Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data; completely overlaps with SRB8/YCR081W; identified by gene-trapping, microarray expression analysis, and genome-wide homology searching [Source:SGD;Acc:S000028609]		GO:0016021	
YCR081W_mRNA	YCR081W	SRB8	protein_coding	+	III	254371	258654	protein_coding	0.3515	4284	Subunit of the RNA polymerase II mediator complex; associates with core polymerase subunits to form the RNA polymerase II holoenzyme; essential for transcriptional regulation; involved in glucose repression [Source:SGD;Acc:S000000677]	GO:0000411; GO:0006357; GO:0016575; GO:0000122; GO:0045944	GO:0034967; GO:0016592	GO:0003712
YCR082W_mRNA	YCR082W		protein_coding	+	III	258883	259269	protein_coding	0.3953	387	Component of the ADA histone acetyltransferase complex; Ahc2p and Ahc1p are unique to the ADA complex and not shared with the related SAGA and SLIK complexes; may tether Ahc1p to the complex [Source:SGD;Acc:S000000678]	GO:0016573	GO:0005671; GO:0005737	
YCR083W_mRNA	YCR083W		protein_coding	+	III	259578	259961	protein_coding	0.4141	384	Mitochondrial thioredoxin; highly conserved oxidoreductase required to maintain the redox homeostasis of the cell, forms the mitochondrial thioredoxin system with Trr2p, redox state is maintained by both Trr2p and Glr1p [Source:SGD;Acc:S000000679]	GO:0006662; GO:0034599; GO:0045454	GO:0005739	GO:0047134; GO:0004791; GO:0015036; GO:0015035; GO:0016671
YCR084C_mRNA	YCR084C	TUP1	protein_coding	-	III	260311	262452	protein_coding	0.4552	2142	General repressor of transcription; forms complex with Cyc8p, involved in the establishment of repressive chromatin structure through interactions with histones H3 and H4, appears to enhance expression of some genes [Source:SGD;Acc:S000000680]	GO:2000217; GO:2000531; GO:2001020; GO:0035955; GO:0001198; GO:0016584; GO:0000433; GO:0043486; GO:0000122; GO:0045944; GO:0006351	GO:0017053; GO:0005634	GO:0036033; GO:0001191; GO:0042826; GO:0042393; GO:0080025; GO:0005515
YCR085W_mRNA	YCR085W		protein_coding	+	III	262916	263269	protein_coding	0.3446	354	Putative protein of unknown function; conserved among S. cerevisiae strains; YCR085W is not an essential gene [Source:SGD;Acc:S000000681]			
YCR086W_mRNA	YCR086W		protein_coding	+	III	263392	263964	protein_coding	0.4398	573	Nucleolar protein that mediates homolog segregation during meiosis I; forms a complex with Lrs4p and then Mam1p at kinetochores; required for condensin recruitment to the replication fork barrier site and rDNA repeat segregation [Source:SGD;Acc:S000000682]	GO:0045143; GO:0051315; GO:0045132; GO:0070550; GO:0034503; GO:0051455; GO:0045144	GO:0034506; GO:0033551; GO:0005635; GO:0072686; GO:0000778; GO:0005730	GO:1990644; GO:0042802; GO:0005515
YCR087C-A_mRNA	YCR087C-A		protein_coding	-	III	264006	264467	protein_coding	0.4524	462	Putative protein of unknown function; green fluorescent protein (GFP)-fusion protein localizes to the nucleolus; YCR087C-A is not an essential gene [Source:SGD;Acc:S000007223]		GO:0005730	GO:0003676; GO:0003677; GO:0046872
YCR087W_mRNA	YCR087W		protein_coding	+	III	263976	264491	protein_coding	0.4322	516	Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data; partially overlaps uncharacterized gene YCR087C-A; YCR087W is not an essential gene [Source:SGD;Acc:S000000683]			
YCR088W_mRNA	YCR088W		protein_coding	+	III	265068	266846	protein_coding	0.4592	1779	Actin-binding protein of the cortical actin cytoskeleton; important for activation of the Arp2/3 complex that plays a key role actin in cytoskeleton organization; inhibits barbed-end actin filament elongation; phosphorylation within its Proline-Rich Regio, mediated by Cdc28p and Pho85p, protects Abp1p from proteolysis mediated by its own PEST sequences; mammalian homolog of HIP-55 (hematopoietic progenitor kinase 1 [HPK1]-interacting protein of 55 kDa) [Source:SGD;Acc:S000000684]	GO:0044379; GO:0051016; GO:2000601; GO:0000147	GO:0005622; GO:0005938; GO:0030479	GO:0003779; GO:0051015; GO:0005515
YCR089W_mRNA	YCR089W		protein_coding	+	III	267434	272263	protein_coding	0.4178	4830	Cell wall adhesin, expressed specifically during mating; may be involved in maintenance of cell wall integrity during mating; FIG2 has a paralog, AGA1, that arose from the whole genome duplication [Source:SGD;Acc:S000000685]	GO:0044182; GO:0007155; GO:0000753; GO:0008360; GO:0000755; GO:0001403; GO:0071555	GO:0005937; GO:0009277; GO:0031225; GO:0005576	
YCR090C_mRNA	YCR090C		protein_coding	-	III	272315	272863	protein_coding	0.3643	549	Putative protein of unknown function; green fluorescent protein (GFP)-fusion protein localizes to the cytoplasm and nucleus; YCR090C is not an essential gene [Source:SGD;Acc:S000000686]			
YCR091W_mRNA	YCR091W	KIN82	protein_coding	+	III	274404	276566	protein_coding	0.3999	2163	Putative serine/threonine protein kinase; implicated in the regulation of phospholipid asymmetry through the activation of phospholipid translocases (flippases); involved in the phosphorylation of upstream inhibitory kinase Ypk1p along with Fpk1p; has a redundant role in the cellular response to mating pheromone; KIN82 has a paralog, FPK1, that arose from the whole genome duplication [Source:SGD;Acc:S000000687]	GO:0045332; GO:0000749; GO:0035556; GO:0006468	GO:0005634; GO:0005737; GO:0005886	GO:0004672; GO:0004674; GO:0005524
YCR092C_mRNA	YCR092C		protein_coding	-	III	276764	279820	protein_coding	0.368	3057	Mismatch repair protein; forms dimers with Msh2p that mediate repair of insertion or deletion mutations and removal of nonhomologous DNA ends, contains a PCNA (Pol30p) binding motif required for genome stability [Source:SGD;Acc:S000000688]	GO:0043111; GO:0000735; GO:0043570; GO:0000710; GO:0006298; GO:0006310; GO:0006312	GO:0032302	GO:0032135; GO:0000406; GO:0030983; GO:0003684; GO:0008094; GO:0005524
YCR093W_mRNA	YCR093W	CDC39	protein_coding	+	III	280117	286443	protein_coding	0.3643	6327	Subunit of the CCR4-NOT1 core complex; this complex has multiple roles in the regulation of mRNA levels including regulation of transcription and destabilization of mRNA by deadenylation; basal transcription factor that increases initiation and elongation; activates the ATPase activity of Dhh1p, resulting in processing body disassembly [Source:SGD;Acc:S000000689]	GO:0010607; GO:0000289; GO:0017148; GO:0051726; GO:0006368; GO:0000749; GO:0000288; GO:0006357; GO:0032968; GO:0007124; GO:0006417	GO:0000932; GO:0030015; GO:0005634; GO:0005737	GO:0001671
YCR094W_mRNA	YCR094W		protein_coding	+	III	286762	287937	protein_coding	0.3682	1176	Endosomal protein that interacts with phospholipid flippase Drs2p; interaction with Cdc50p is essential for Drs2p catalytic activity; mutations affect cell polarity and polarized growth; similar to Lem3p; CDC50 has a paralog, YNR048W, that arose from the whole genome duplication [Source:SGD;Acc:S000000690]	GO:0045332; GO:0051666; GO:0042147; GO:0006897; GO:0006886	GO:1990530; GO:0005802; GO:0031902; GO:0016020; GO:0005829; GO:0016021	
YCR095C_mRNA	YCR095C		protein_coding	-	III	288170	289258	protein_coding	0.3407	1089	Cytoplasmic protein required for replication of Brome mosaic virus; S. cerevisiae is a model system for studying replication of positive-strand RNA viruses in their natural hosts [Source:SGD;Acc:S000000691]			GO:0004725
YCR095W-A_mRNA	YCR095W-A		protein_coding	+	III	289639	289797	protein_coding	0.3082	159	Putative protein of unknown function [Source:SGD;Acc:S000029724]			
YCR096C_mRNA	YCR096C	HMRA2	protein_coding	-	III	293179	293538	protein_coding	0.3722	360	Silenced copy of a2 at HMR; similarity to Alpha2p; required along with a1p for inhibiting expression of the HO endonuclease in a/alpha HO/HO diploid cells with an active mating-type interconversion system [Source:SGD;Acc:S000000692]		GO:0005634	GO:0003677
YCR097W-A_mRNA	YCR097W-A		protein_coding	+	III	294439	294705	protein_coding	0.3371	267	Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data; identified by homology to a hemiascomycetous yeast protein [Source:SGD;Acc:S000007632]		GO:0016021	
YCR097W_mRNA	YCR097W	HMRA1	protein_coding	+	III	293835	294321	protein_coding	0.3097	381	Silenced copy of a1 at HMR; homeobox corepressor that interacts with Alpha2p to repress haploid-specific gene transcription in diploid cells [Source:SGD;Acc:S000000694]	GO:0007532; GO:0006355; GO:0006351	GO:0005634	GO:0003714; GO:0043565; GO:0003677
YCR098C_mRNA	YCR098C		protein_coding	-	III	297049	298605	protein_coding	0.3828	1557	Plasma membrane permease; mediates uptake of glycerophosphoinositol and glycerophosphocholine as sources of the nutrients inositol and phosphate; expression and transport rate are regulated by phosphate and inositol availability [Source:SGD;Acc:S000000695]	GO:0001407; GO:0015794; GO:0055085	GO:0005887; GO:0005886; GO:0016021	GO:0015169; GO:0001406; GO:0022857; GO:0005215
YCR099C_mRNA	YCR099C		protein_coding	-	III	300832	301299	protein_coding	0.3761	468	Putative protein of unknown function [Source:SGD;Acc:S000000696]			
YCR100C_mRNA	YCR100C		protein_coding	-	III	301271	302221	protein_coding	0.3828	951	Putative protein of unknown function [Source:SGD;Acc:S000000697]			
YCR101C_mRNA	YCR101C		protein_coding	-	III	302482	303030	protein_coding	0.3698	549	Putative protein of unknown function; localizes to the membrane fraction; YCR101C is not an essential gene [Source:SGD;Acc:S000000698]		GO:0016020	GO:0005515
YCR102C_mRNA	YCR102C		protein_coding	-	III	304361	305467	protein_coding	0.4426	1107	Putative protein of unknown function; involved in copper metabolism; similar to C. carbonum toxD gene; member of the quinone oxidoreductase family [Source:SGD;Acc:S000000699]	GO:0046688; GO:0055114		GO:0016491
YCR102W-A_mRNA	YCR102W-A		protein_coding	+	III	306735	306932	protein_coding	0.3535	198	Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data [Source:SGD;Acc:S000007231]	GO:0016192	GO:0005768; GO:0016020	
YCR104W_mRNA	YCR104W		protein_coding	+	III	307801	308175	protein_coding	0.4773	375	Member of the seripauperin multigene family; encoded mainly in subtelomeric region; active during alcoholic fermentation; regulated by anaerobiosis; negatively regulated by oxygen; repressed by heme [Source:SGD;Acc:S000000701]	GO:0006950	GO:0016021	
YCR105W_mRNA	YCR105W	ADH7	protein_coding	+	III	309070	310155	protein_coding	0.4365	1086	NADPH-dependent medium chain alcohol dehydrogenase; has broad substrate specificity; member of the cinnamyl family of alcohol dehydrogenases; may be involved in fusel alcohol synthesis or in aldehyde tolerance [Source:SGD;Acc:S000000702]	GO:0055114; GO:0006066		GO:0008106; GO:0016491; GO:0008270
YCR106W_mRNA	YCR106W		protein_coding	+	III	310958	313456	protein_coding	0.3693	2499	Putative zinc cluster transcription factor; involved in conferring resistance to cycloheximide [Source:SGD;Acc:S000000703]	GO:0009410; GO:0045944; GO:0006355; GO:0006351	GO:0005634	GO:0000981; GO:0000978; GO:0008270
YCR107W_mRNA	YCR107W		protein_coding	+	III	313890	314981	protein_coding	0.4093	1092	Putative aryl-alcohol dehydrogenase; similar to P. chrysosporium aryl-alcohol dehydrogenase; mutational analysis has not yet revealed a physiological role; AAD3 has a paralog, AAD15, that arose from a segmental duplication; members of the AAD gene family comprise three pairs (AAD3 + AAD15, AAD6/AAD16 + AAD4, AAD10 + AAD14) whose two genes are more related to one another than to other members of the family [Source:SGD;Acc:S000000704]	GO:0006081		GO:0018456
YCR108C_mRNA	YCR108C		protein_coding	-	III	315997	316188	protein_coding	0.4635	192	Putative protein of unknown function; identified by fungal homology and RT-PCR [Source:SGD;Acc:S000028536]			
YDL001W_mRNA	YDL001W		protein_coding	+	IV	447984	449276	protein_coding	0.3743	1293	Cytoplasmic protein required for sporulation [Source:SGD;Acc:S000002159]	GO:0051321; GO:0030435	GO:0005737	
YDL002C_mRNA	YDL002C	NHP10	protein_coding	-	IV	446967	447578	protein_coding	0.3791	612	Non-essential INO80 chromatin remodeling complex subunit; preferentially binds DNA ends, protecting them from exonucleatic cleavage; deletion affects telomere maintenance via recombination; related to mammalian high mobility group proteins [Source:SGD;Acc:S000002160]	GO:0042766; GO:0000722; GO:0006302; GO:0006355; GO:0006351	GO:0031011	GO:0045027; GO:0000404
YDL003W_mRNA	YDL003W	MCD1	protein_coding	+	IV	444683	446383	protein_coding	0.3833	1701	Essential alpha-kleisin subunit of the cohesin complex; required for sister chromatid cohesion in mitosis and meiosis; apoptosis induces cleavage and translocation of a C-terminal fragment to mitochondria; expression peaks in S phase [Source:SGD;Acc:S000002161]	GO:0006473; GO:0007062; GO:0006915; GO:0007076; GO:0034087; GO:0006974; GO:0051301; GO:0006302; GO:1990414	GO:0034990; GO:0000775; GO:0000794; GO:0005634; GO:0005739; GO:0008278	GO:0019901; GO:0003682; GO:0005515
YDL004W_mRNA	YDL004W		protein_coding	+	IV	443029	443511	protein_coding	0.3975	483	Delta subunit of the central stalk of mitochondrial F1F0 ATP synthase; F1F0 ATP synthase is a large, evolutionarily conserved enzyme complex required for ATP synthesis; F1 translationally regulates ATP6 and ATP8 expression to achieve a balanced output of ATP synthase genes encoded in nucleus and mitochondria; phosphorylated [Source:SGD;Acc:S000002162]	GO:0015986	GO:0005756; GO:0045261	GO:0046933
YDL005C_mRNA	YDL005C		protein_coding	-	IV	441014	442309	protein_coding	0.3835	1296	Subunit of the RNA polymerase II mediator complex; associates with core polymerase subunits to form the RNA polymerase II holoenzyme; essential for transcriptional regulation; relocalizes to the cytosol in response to hypoxia [Source:SGD;Acc:S000002163]	GO:0051123; GO:0000122; GO:0045944	GO:0070847; GO:0016592; GO:0005634; GO:0005829	GO:0001135; GO:0001103
YDL006W_mRNA	YDL006W	PTC1	protein_coding	+	IV	439909	440754	protein_coding	0.383	846	Type 2C protein phosphatase (PP2C); dephosphorylates Hog1p, inactivating osmosensing MAPK cascade; involved in Fus3p activation during pheromone response; deletion affects precursor tRNA splicing, mitochondrial inheritance, and sporulation [Source:SGD;Acc:S000002164]	GO:0051389; GO:0043409; GO:0035970; GO:0000188; GO:0000750; GO:0006470; GO:0006388; GO:0000001	GO:0005634; GO:0005737	GO:0043169; GO:1990439; GO:0003824; GO:0004722; GO:0046872
YDL007C-A_mRNA	YDL007C-A		protein_coding	-	IV	436567	436824	protein_coding	0.3527	258	Putative protein of unknown function [Source:SGD;Acc:S000113557]			
YDL007W_mRNA	YDL007W	RPT2	protein_coding	+	IV	438047	439360	protein_coding	0.3912	1314	ATPase of the 19S regulatory particle of the 26S proteasome; one of six ATPases of the regulatory particle; involved in the degradation of ubiquitinated substrates; required for normal peptide hydrolysis by the core 20S particle; N-myristoylation of Rpt2p at Gly2 is involved in regulating the proper intracellular distribution of proteasome activity by controlling the nuclear localization of the 26S proteasome [Source:SGD;Acc:S000002165]	GO:0031503; GO:0070651; GO:0043171; GO:0030163; GO:0045899; GO:0070682; GO:0006511; GO:0030433; GO:0045732	GO:0008540; GO:0031597; GO:0031595; GO:0005634; GO:0005737	GO:0016787; GO:0017025; GO:0036402; GO:0005524; GO:0016887
YDL008W_mRNA	YDL008W		protein_coding	+	IV	433497	433994	protein_coding	0.4297	498	Catalytic core subunit, Anaphase-Promoting Complex/Cyclosome (APC/C); which is a ubiquitin-protein ligase required for degradation of anaphase inhibitors, including mitotic cyclins, during the metaphase/anaphase transition; contains a RING-H2 domain that is required for activity [Source:SGD;Acc:S000002166]	GO:0045842; GO:0031145; GO:0016567; GO:0051301; GO:0007049	GO:0005680	GO:0097602; GO:0016874; GO:0061630; GO:0004842; GO:0046872
YDL009C_mRNA	YDL009C		protein_coding	-	IV	432925	433248	protein_coding	0.3549	324	Protein of unknown function; mRNA identified as translated by ribosome profiling data; SWAT-GFP and mCherry fusion proteins localize to the cytosol; partially overlaps the verified ORF YDL010W; YDL009C is not an essential gene [Source:SGD;Acc:S000002167]		GO:0016021	
YDL010W_mRNA	YDL010W		protein_coding	+	IV	432330	433025	protein_coding	0.3793	696	Cis-golgi localized monothiol glutaredoxin, binds Fe-S cluster; more similar in activity to dithiol than other monothiol glutaredoxins; involved in the oxidative stress response; GRX6 has a paralog, GRX7, that arose from the whole genome duplication [Source:SGD;Acc:S000002168]	GO:0034599; GO:0045454	GO:0005796; GO:0005801; GO:0000324; GO:0005794; GO:0005789; GO:0016021	GO:0004362; GO:0009055; GO:0015035; GO:0005506; GO:0051537; GO:0042803
YDL011C_mRNA	YDL011C		protein_coding	-	IV	432308	432631	protein_coding	0.3735	324	Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data; overlaps the uncharacterized ORF YDL010W [Source:SGD;Acc:S000002169]		GO:0016021	
YDL012C_mRNA	YDL012C		protein_coding	-	IV	431108	431517	protein_coding	0.4691	324	Tail-anchored plasma membrane protein with a conserved CYSTM module; possibly involved in response to stress; may contribute to non-homologous end-joining (NHEJ) based on ydl012c htz1 double null phenotype; YDL012C has a paralog, YBR016W, that arose from the whole genome duplication [Source:SGD;Acc:S000002170]		GO:0005886; GO:0016021	
YDL013W_mRNA	YDL013W	SLX5	protein_coding	+	IV	429067	430926	protein_coding	0.428	1860	Subunit of the Slx5-Slx8 SUMO-targeted Ub ligase (STUbL) complex; role in Ub-mediated degradation of histone variant Cse4p preventing mislocalization to euchromatin; role in proteolysis of spindle positioning protein Kar9p, and DNA repair proteins Rad52p and Rad57p; forms SUMO-dependent nuclear foci, including DNA repair centers; contains a RING domain and two SIM motifs; associates with the centromere; required for maintenance of genome integrity like human ortholog RNF4 [Source:SGD;Acc:S000002171]	GO:0016925; GO:0006281; GO:0006974; GO:0000723; GO:0016567; GO:0006355; GO:0006351	GO:0033768; GO:0000775; GO:0005634; GO:0005730	GO:0032183; GO:0016740
YDL014W_mRNA	YDL014W	NOP1	protein_coding	+	IV	427364	428347	protein_coding	0.4746	984	Histone glutamine methyltransferase, modifies H2A at Q105 in nucleolus; component of the small subunit processome complex, which is required for processing of pre-18S rRNA; ortholog of mammalian fibrillarin; inviability of the null mutant is functionally complemented by human FBL [Source:SGD;Acc:S000002172]	GO:1990258; GO:0043144; GO:0000451; GO:0000494; GO:0008033; GO:0006364; GO:0031167; GO:0006356	GO:0015030; GO:0031428; GO:0032040; GO:0005654; GO:0005730	GO:0008649; GO:0008171; GO:1990259; GO:0008168; GO:0003723
YDL015C_mRNA	YDL015C		protein_coding	-	IV	426002	426934	protein_coding	0.3526	933	Enoyl reductase; catalyzes last step in each cycle of very long chain fatty acid elongation; localizes to ER, highly enriched in a structure marking nuclear-vacuolar junctions; coimmunoprecipitates with elongases Elo2p and Elo3p; protein increases in abundance and relative distribution to ER foci increases upon DNA replication stress; human homolog TECR implicated in nonsyndromic mental retardation, can complement yeast mutant [Source:SGD;Acc:S000002173]	GO:0000038; GO:0010025; GO:0006665; GO:0042761; GO:0006629	GO:0005789; GO:0005886; GO:0016021	GO:0016627; GO:0102758; GO:0009922; GO:0016491
YDL016C_mRNA	YDL016C		protein_coding	-	IV	425570	425872	protein_coding	0.3366	303	Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data; partially overlaps the verified ORF CDC7/YDL153C, the catalytic subunit of a complex that regulates DNA replication [Source:SGD;Acc:S000002174]			
YDL017W_mRNA	YDL017W	CDC7	protein_coding	+	IV	424209	425732	protein_coding	0.3852	1524	DDK (Dbf4-dependent kinase) catalytic subunit; required for origin firing and replication fork progression in mitotic S phase through phosphorylation of Mcm2-7p complexes and Cdc45p; kinase activity correlates with cyclical DBF4 expression; required for pre-meiotic DNA replication, meiotic DSB formation, recruitment of monopolin complex to kinetochores during meiosis I, regulation of meiosis-specific Ndt80p; mutation complemented by human CDC7 and DBF4 co-expression [Source:SGD;Acc:S000002175]	GO:0000727; GO:1904968; GO:0031334; GO:0010673; GO:1902977; GO:1905263; GO:0034629; GO:0008360; GO:0060903; GO:0033314; GO:0006279; GO:0001100; GO:0031938; GO:0046777; GO:0018105; GO:0018107; GO:0006468; GO:0051301; GO:0006270	GO:0000775; GO:0031431; GO:0005634; GO:0005737	GO:0004672; GO:0004674; GO:0042802; GO:0005524; GO:0046872
YDL018C_mRNA	YDL018C		protein_coding	-	IV	422833	423510	protein_coding	0.382	678	Protein with similarity to Emp24p and Erv25p; member of the p24 family involved in ER to Golgi transport [Source:SGD;Acc:S000002176]	GO:0015031; GO:0016192	GO:0005789; GO:0016021	
YDL019C_mRNA	YDL019C		protein_coding	-	IV	417663	421514	protein_coding	0.4039	3852	Member of an oxysterol-binding protein family with seven members; in S. cerevisiae, family members have overlapping, redundant functions in sterol metabolism and collectively perform a function essential for viability; contains FFAT motif; interacts with ER anchor Scs2p at patches at the plasma membrane and at the nuclear envelope; regulated by sterol binding; OSH2 has a paralog, SWH1, that arose from the whole genome duplication [Source:SGD;Acc:S000002177]	GO:0035621; GO:0015918; GO:0030011; GO:0006897; GO:0006887; GO:0034727	GO:0032541; GO:0005635; GO:0005935; GO:0005783; GO:0005886	GO:0005545; GO:0008289; GO:0008142; GO:0015248; GO:0005515
YDL020C_mRNA	YDL020C	RPN4	protein_coding	-	IV	415113	416708	protein_coding	0.3835	1596	Transcription factor that stimulates expression of proteasome genes; Rpn4p levels are in turn regulated by the 26S proteasome in a negative feedback control mechanism; RPN4 is transcriptionally regulated by various stress responses; relative distribution to the nucleus increases upon DNA replication stress [Source:SGD;Acc:S000002178]	GO:0006282; GO:0061395; GO:0036003; GO:0000122; GO:0045944	GO:0005634	GO:0003676; GO:0000978
YDL021W_mRNA	YDL021W		protein_coding	+	IV	413953	414888	protein_coding	0.375	936	Homolog of Gpm1p phosphoglycerate mutase; converts 3-phosphoglycerate to 2-phosphoglycerate in glycolysis; may be non-functional; GPM2 has a paralog, GPM3, that arose from the whole genome duplication [Source:SGD;Acc:S000002179]	GO:0008152; GO:0006096	GO:0005829; GO:0005737	GO:0016868; GO:0003824; GO:0004619
YDL022C-A_mRNA	YDL022C-A		protein_coding	-	IV	409808	410056	protein_coding	0.4016	249	Protein of unknown function; SWAT-GFP and mCherry fusion proteins localize to the cytosol; partially overlaps the verified gene DIA3; identified by fungal homology and RT-PCR; mRNA identified as translated by ribosome profiling data [Source:SGD;Acc:S000028537]			
YDL022W_mRNA	YDL022W	GPD1	protein_coding	+	IV	411825	413000	protein_coding	0.4388	1176	NAD-dependent glycerol-3-phosphate dehydrogenase; key enzyme of glycerol synthesis, essential for growth under osmotic stress; expression regulated by high-osmolarity glycerol response pathway; protein abundance increases in response to DNA replication stress; constitutively inactivated via phosphorylation by the protein kinases Ypk1p and Ypk2p, dephosphorylation increases catalytic activity; forms a heterodimer with Pnc1p to facilitate its peroxisomal import [Source:SGD;Acc:S000002180]	GO:0006973; GO:0046168; GO:0006116; GO:0005975; GO:0055114; GO:0016558; GO:0006072	GO:0009331; GO:0005777; GO:0005634; GO:0005829	GO:0004367; GO:0016616; GO:0042803; GO:0016491; GO:0051287
YDL023C_mRNA	YDL023C	YDL023C	protein_coding	-	IV	411761	412081	protein_coding	0.405	321	Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data; not conserved in other Saccharomyces species; overlaps the verified gene GPD1; deletion confers sensitivity to GSAO; deletion in cyr1 mutant results in loss of stress resistance [Source:SGD;Acc:S000002181]			
YDL024C_mRNA	YDL024C		protein_coding	-	IV	408451	409857	protein_coding	0.3987	1407	Protein of unknown function; involved in invasive and pseudohyphal growth [Source:SGD;Acc:S000002182]	GO:0001403; GO:0007124	GO:0009277	GO:0016791; GO:0003993
YDL025C_mRNA	YDL025C		protein_coding	-	IV	405344	407206	protein_coding	0.401	1863	Putative protein kinase, potentially phosphorylated by Cdc28p; interacts with ribosome biogenesis factors, Cka2, Gus1 and Arc1; protein abundance increases in response to DNA replication stress [Source:SGD;Acc:S000002183]	GO:0035556; GO:0006468	GO:0005634; GO:0005737	GO:0004672; GO:0004674; GO:0005524
YDL025W-A_mRNA	YDL025W-A		protein_coding	+	IV	405410	405514	protein_coding	0.419	105	Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data; completely overlaps the ORF YDL025C; identified by gene-trapping, microarray expression analysis, and genome-wide homology searching [Source:SGD;Acc:S000028610]			
YDL026W_mRNA	YDL026W		protein_coding	+	IV	404749	405060	protein_coding	0.3974	312	Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data [Source:SGD;Acc:S000002184]		GO:0016021	
YDL027C_mRNA	YDL027C		protein_coding	-	IV	403695	404957	protein_coding	0.3579	1263	Protein that associates with mitochondrial ribosome; the authentic, non-tagged protein is detected in highly purified mitochondria in high-throughput studies; YDL027C is not an essential gene [Source:SGD;Acc:S000002185]		GO:0031966; GO:0016021	
YDL028C_mRNA	YDL028C	MPS1	protein_coding	-	IV	400997	403291	protein_coding	0.3695	2295	Dual-specificity kinase; autophosphorylation required for function; required for spindle pole body (SPB) duplication and spindle checkpoint function; contributes to bi-orientation by promoting formation of force-generating kinetochore-microtubule attachments in meiosis I; substrates include SPB proteins Spc42p, Spc110p, and Spc98p, mitotic exit network protein Mob1p, kinetochore protein Cnn1p, and checkpoint protein Mad1p; substrate of APCC(Cdh1); similar to human Mps1p [Source:SGD;Acc:S000002186]	GO:0051988; GO:0051225; GO:0051304; GO:0007093; GO:0034501; GO:0046777; GO:0007094; GO:0006468; GO:0031134; GO:0030474	GO:0005816; GO:0000778	GO:0004712; GO:0004672; GO:0004674; GO:0005524
YDL029W_mRNA	YDL029W	ARP2	protein_coding	+	IV	399340	400638	protein_coding	0.415	1176	Essential component of the Arp2/3 complex; Arp2/3 is a highly conserved actin nucleation center required for the motility and integrity of actin patches; involved in endocytosis and membrane growth and polarity; required for efficient Golgi-to-ER trafficking in COPI mutants [Source:SGD;Acc:S000002187]	GO:0051654; GO:0034314; GO:0009825; GO:0000902; GO:0030476; GO:0000001; GO:0007015; GO:0032258	GO:0005856; GO:0005885; GO:0030479	GO:0003779; GO:0005524; GO:0016887
YDL030W_mRNA	YDL030W		protein_coding	+	IV	397537	399129	protein_coding	0.3779	1593	Subunit of the SF3a splicing factor complex; required for spliceosome assembly; acts after the formation of the U1 snRNP-pre-mRNA complex [Source:SGD;Acc:S000002188]	GO:0000395; GO:0000398	GO:0005681; GO:0071004; GO:0005634	GO:0003676; GO:0008270; GO:0003723
YDL031W_mRNA	YDL031W		protein_coding	+	IV	394217	397204	protein_coding	0.3889	2988	Putative ATP-dependent RNA helicase of the DEAD-box protein family; constituent of 66S pre-ribosomal particles; essential protein involved in ribosome biogenesis [Source:SGD;Acc:S000002189]	GO:1902626; GO:0010501; GO:0000466; GO:0000463	GO:0030687; GO:0005634; GO:0005730; GO:0005737	GO:0003676; GO:0042802; GO:0003723; GO:0005524
YDL032W_mRNA	YDL032W		protein_coding	+	IV	393690	394001	protein_coding	0.4295	312	Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data; partially overlaps verified gene SLM3/YDL033C; YDL032W is not an essential gene [Source:SGD;Acc:S000002190]			
YDL033C_mRNA	YDL033C	SLM3	protein_coding	-	IV	392659	393912	protein_coding	0.4561	1254	tRNA-specific 2-thiouridylase; responsible for 2-thiolation of the wobble base of mitochondrial tRNAs; human homolog TRMU is implicated in myoclonus epilepsy associated with ragged red fibers (MERRF), and can complement yeast null mutant [Source:SGD;Acc:S000002191]	GO:1990799; GO:0008033; GO:0006400	GO:0005759; GO:0005739	GO:0061708; GO:0016783; GO:0016740; GO:0000049; GO:0005524
YDL034W_mRNA	YDL034W		protein_coding	+	IV	391783	392127	protein_coding	0.4377	345	Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data; partially overlaps with verified gene GPR1/YDL035C; YDL034W is not an essential gene [Source:SGD;Acc:S000002192]			
